,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,qbelo1_pre,qbelo2_pre,qbelo_prob1,qbelo_prob2,quality,score1,score2,winner
34,PIT,PHI,1500.586,1693.121,0.3242845959680198,0.6757154040319802,1500.49022847,1695.63442563,0.325515670396,0.674484329604,90.0,10,17,1
35,LAR,BCL,1581.945,1285.841,0.8888138224517532,0.1111861775482467,1583.60556697,1284.47517643,0.8886366176,0.1113633823999999,15.0,70,27,0
36,CLE,PIT,1665.617,1487.838,0.8017945470990923,0.1982054529009077,1660.00778093,1487.71187217,0.821760780974,0.178239219026,79.0,45,7,0
37,SF,BCL,1459.478,1278.613,0.8046025453314523,0.1953974546685477,1459.4017009,1277.23138796,0.820130302243,0.179869697757,4.0,17,14,0
38,NYY,CHI,1453.682,1647.227,0.3230119062570012,0.6769880937429987,1450.81470609,1645.46365689,0.29036774863,0.70963225137,78.0,38,27,0
39,PHI,WSH,1705.868,1374.898,0.9071553921218292,0.0928446078781707,1708.41278194,1372.85580025,0.907702383601,0.092297616399,61.0,35,3,0
40,ARI,NYG,1524.997,1529.191,0.5866242410109462,0.4133757589890537,1523.01859816,1529.82580219,0.590228174969,0.4097718250309999,67.0,17,3,0
41,LAR,DET,1589.174,1462.687,0.7506885210468404,0.2493114789531596,1590.84935545,1463.37534248,0.748409087862,0.251590912138,66.0,65,24,0
42,LAR,SF,1606.318,1464.351,0.7669909704249761,0.2330090295750239,1608.69682836,1463.86595278,0.774207514532,0.225792485468,75.0,28,21,0
43,ARI,CLE,1546.784,1678.696,0.4048790132099166,0.5951209867900833,1544.60355018,1671.66693328,0.361176788621,0.638823211379,92.0,7,10,1
44,NYG,WSH,1507.405,1369.395,0.7628953930987187,0.2371046069012813,1508.24085017,1367.40540718,0.751720304141,0.248279695859,18.0,24,21,0
45,BCL,GB,1273.74,1343.76,0.4927761419613048,0.5072238580386952,1272.76713607,1351.35330534,0.444214751346,0.555785248654,0.0,41,21,0
46,DET,CHI,1445.542,1611.494,0.3586734443170746,0.6413265556829253,1445.52786956,1607.53876393,0.333215909884,0.666784090116,68.0,21,35,1
47,PHI,PIT,1711.37,1474.759,0.8502053409354574,0.1497946590645426,1713.86317501,1476.05271982,0.857587518368,0.142412481632,85.0,7,9,1
48,NYG,ARI,1513.423,1535.89,0.5609059529611573,0.4390940470388427,1514.56576089,1535.02264006,0.540079379353,0.459920620647,62.0,51,21,0
49,CHI,NYY,1630.068,1489.415,0.7656364363265983,0.2343635636734017,1624.64001518,1488.73959905,0.735579589819,0.264420410181,85.0,28,20,0
50,PIT,BCL,1496.408,1304.696,0.8142329539304752,0.1857670460695247,1498.0191569,1307.22213206,0.823686068181,0.176313931819,6.0,17,7,0
51,CLE,SF,1689.591,1455.493,0.8483536585780569,0.1516463414219431,1681.2478434,1455.57650166,0.846067210839,0.1539327891609999,83.0,34,14,0
52,WSH,PHI,1363.377,1689.722,0.1817668121840681,0.8182331878159319,1361.08049646,1691.89673793,0.178427186549,0.821572813451,54.0,0,33,1
53,GB,LAR,1312.804,1615.176,0.2031983677651667,0.7968016322348332,1316.89830935,1616.98627949,0.170097881434,0.829902118566,24.0,14,45,1
54,PHI,ARI,1701.18,1506.305,0.8169712638178855,0.1830287361821144,1703.09733037,1503.84476765,0.829482437172,0.170517562828,87.0,10,14,1
55,CLE,WSH,1697.719,1351.919,0.9140999014429246,0.0859000985570753,1689.50057923,1349.87990402,0.91735676814,0.08264323186,51.0,20,14,0
56,NYY,LAR,1479.996,1627.889,0.3829205008881614,0.6170794991118386,1477.97773653,1627.16699305,0.450895922323,0.549104077677,75.0,35,43,1
57,CHI,SF,1639.486,1447.365,0.8145888104863508,0.1854111895136492,1635.4018777,1447.32376583,0.821905606855,0.1780943931449999,74.0,17,0,0
58,DET,GB,1426.968,1300.091,0.751108451934116,0.2488915480658839,1428.42661831,1306.71759578,0.806209679502,0.193790320498,2.0,24,21,0
59,BCL,NYG,1296.717,1543.008,0.2604569542014207,0.7395430457985793,1299.68833424,1545.7436333,0.257059619763,0.742940380237,11.0,20,55,1
60,ARI,PIT,1536.125,1504.386,0.6357290399466475,0.3642709600533524,1534.37571677,1505.55295472,0.62753145124,0.37246854876,57.0,17,28,1
61,DET,NYY,1433.315,1463.78,0.5495368211874172,0.4504631788125828,1433.27138481,1458.46033424,0.557977510759,0.4420224892409999,31.0,49,14,0
62,WSH,BCL,1349.101,1279.472,0.684598654722419,0.315401345277581,1347.1777973,1282.6960347,0.674931108633,0.325068891367,0.0,38,28,0
63,CHI,LAR,1649.083,1644.105,0.5993663869711608,0.4006336130288391,1644.58855072,1646.68439534,0.636134974054,0.363865025946,97.0,24,14,0
64,NYG,PHI,1560.254,1671.36,0.434034899795345,0.5659651002046551,1562.73593285,1672.56638125,0.424778582237,0.575221417763,94.0,7,3,0
65,GB,SF,1293.744,1437.768,0.3881966868719376,0.6118033131280625,1301.87282929,1438.13709281,0.361697331039,0.6383026689610001,2.0,25,21,0
66,ARI,CHI,1503.077,1667.704,0.3604298155335727,0.6395701844664273,1501.85683214,1661.71992579,0.318953051514,0.681046948486,86.0,20,10,0
67,CLE,PHI,1700.536,1652.752,0.656838477616435,0.343161522383565,1692.20268595,1653.57895379,0.680928193813,0.319071806187,99.0,13,7,0
68,LAR,GB,1625.484,1314.171,0.8971758613147552,0.1028241386852447,1629.55302027,1323.35710369,0.894088361825,0.105911638175,20.0,51,14,0
69,BCL,DET,1265.218,1465.101,0.3150857200452929,0.6849142799547071,1267.95412892,1464.41129511,0.298730469601,0.701269530399,3.0,21,45,1
70,PIT,WSH,1537.434,1363.355,0.7983879544519866,0.2016120455480133,1538.07183934,1361.91970308,0.784300878581,0.215699121419,26.0,7,24,1
71,NYG,NYY,1578.862,1431.994,0.7719949527257407,0.2280050472742593,1581.72336031,1427.32042394,0.761189470039,0.238810529961,51.0,51,7,0
72,PIT,ARI,1485.654,1535.204,0.5222196930275792,0.4777803069724208,1487.57631749,1536.61622533,0.510373116706,0.4896268832939999,56.0,28,7,0
73,CHI,DET,1635.577,1484.214,0.7765174094201462,0.2234825905798537,1626.9605326,1482.45021116,0.749895597986,0.2501044020139999,84.0,6,3,0
74,WSH,CLE,1415.135,1713.24,0.2072043083556372,0.7927956916443628,1412.41522494,1703.93830882,0.1809571966,0.8190428034,67.0,21,45,1
75,NYY,BCL,1416.16,1246.105,0.7946335870315718,0.2053664129684281,1410.67475211,1249.91521287,0.799605878242,0.2003941217579999,0.0,51,14,0
76,SF,GB,1417.341,1307.783,0.7320084527875347,0.2679915472124653,1416.6528184,1316.53396451,0.770908979513,0.229091020487,1.0,30,14,0
77,PHI,NYG,1640.049,1594.696,0.6536773286765426,0.3463226713234574,1641.84333092,1598.36903214,0.623534867001,0.376465132999,94.0,7,9,1
78,CLE,NYG,1725.302,1609.817,0.7386483563366201,0.2613516436633799,1714.34476665,1612.64839743,0.767045963948,0.232954036052,99.0,8,3,0
79,LAR,CHI,1631.872,1641.218,0.5794144644492732,0.4205855355507267,1636.37615945,1633.32811098,0.638465242342,0.361534757658,97.0,24,14,0
80,CLE,LAR,1733.957,1651.544,0.7002686430965485,0.2997313569034515,1721.9780823,1653.50119538,0.750529775416,0.249470224584,100.0,30,28,0
81,LAR,NYY,1598.581,1454.772,0.7688805992780859,0.231119400721914,1600.51330547,1450.87910783,0.7826279757,0.2173720243,56.0,54,14,0
82,SF,CLE,1455.94,1661.753,0.3077658951882353,0.6922341048117647,1454.00712722,1653.13954632,0.295722672774,0.704277327226,74.0,24,10,0
83,ARI,PHI,1505.582,1584.952,0.4793316918060217,0.5206683081939782,1505.96741222,1586.70931042,0.477960927934,0.522039072066,67.0,14,17,1
84,GB,CHI,1364.142,1582.697,0.2923632967957988,0.7076367032042011,1371.45072806,1579.13538337,0.281098636348,0.7189013636520001,31.0,20,31,1
85,DET,WSH,1487.382,1437.049,0.6601381940940819,0.3398618059059181,1485.72175518,1436.33917808,0.666617621114,0.333382378886,28.0,35,17,0
86,PIT,NYG,1511.656,1569.108,0.5108607365795617,0.4891392634204383,1513.494283,1571.67672118,0.501214733002,0.4987852669979999,68.0,13,13,1
87,PHI,SF,1598.155,1495.996,0.7235709770716136,0.2764290229283864,1599.86009227,1494.43016187,0.713019869429,0.286980130571,70.0,21,14,0
88,WSH,NYG,1418.032,1569.439,0.3781521842105732,0.6218478157894267,1417.63113274,1571.71339344,0.361760274094,0.638239725906,44.0,14,35,1
89,ARI,CHI,1492.379,1596.279,0.4442511568163945,0.5557488431836055,1492.81663036,1592.48233987,0.512134486464,0.487865513536,59.0,28,14,0
90,LAR,CLE,1614.259,1621.697,0.5820886696507351,0.4179113303492648,1615.17027845,1612.71651166,0.605025140327,0.3949748596729999,95.0,23,38,1
91,GB,PIT,1350.56,1511.325,0.3655703537102961,0.6344296462897039,1358.10377156,1513.45761073,0.386843464933,0.6131565350670001,13.0,35,33,0
92,DET,NYY,1506.399,1439.095,0.6817016710603194,0.3182983289396806,1504.42980052,1436.22213485,0.726252945116,0.273747054884,36.0,37,10,0
93,DET,LAR,1526.408,1581.114,0.514809923471017,0.485190076528983,1521.43668808,1580.77204987,0.589387220558,0.410612779442,73.0,21,27,1
94,NYG,ARI,1591.933,1523.02,0.6837080228260631,0.3162919771739368,1592.27735329,1518.94699448,0.706941689287,0.293058310713,74.0,28,17,0
95,CHI,NYY,1565.637,1419.086,0.7716735945373817,0.2283264054626183,1566.35197574,1419.21524728,0.795396050751,0.204603949249,41.0,24,21,0
96,CLE,WSH,1654.842,1395.538,0.8660926666905595,0.1339073333094405,1647.11474025,1397.06717289,0.864505238442,0.135494761558,56.0,45,0,0
97,GB,PHI,1365.135,1608.84,0.2633345314962016,0.7366654685037983,1371.89864748,1611.0209433,0.269607340791,0.730392659209,42.0,37,24,0
98,PIT,SF,1496.751,1485.312,0.6082633804933469,0.391736619506653,1499.66273481,1483.26931084,0.604925868009,0.395074131991,42.0,24,28,1
99,NYG,PHI,1606.75,1566.52,0.6469712988911107,0.3530287011088893,1605.41547585,1569.46751356,0.626325646324,0.373674353676,85.0,26,24,0
100,WSH,ARI,1386.601,1508.203,0.4192562494880771,0.5807437505119228,1387.86263769,1505.80887192,0.464662235401,0.5353377645990001,23.0,7,3,0
101,CLE,PIT,1663.778,1476.467,0.8103704210805721,0.1896295789194279,1656.31927545,1479.52274051,0.832900542837,0.167099457163,72.0,17,0,0
102,CHI,SF,1571.412,1505.596,0.6798401791934702,0.3201598208065298,1571.43873909,1503.40930515,0.690404398332,0.309595601668,71.0,13,7,0
103,DET,NYY,1506.278,1413.31,0.712864453827537,0.2871355461724629,1498.30192449,1414.12848393,0.716528538031,0.2834714619689999,29.0,24,24,1
104,GB,LAR,1407.454,1601.244,0.3227035783182002,0.6772964216817998,1413.45207723,1603.90681346,0.362475808409,0.6375241915909999,49.0,0,28,1
105,ARI,PIT,1489.016,1466.633,0.6231680710084196,0.3768319289915803,1488.39633751,1470.86877257,0.600108645503,0.399891354497,35.0,14,28,1
106,SF,LAR,1493.835,1621.775,0.4104000683899435,0.5895999316100564,1492.12607996,1626.99648854,0.420136180836,0.579863819164,73.0,44,17,0
107,PHI,WSH,1559.117,1405.788,0.7784752283489693,0.2215247716510306,1561.76560151,1405.2751721,0.745934239701,0.2540657602989999,41.0,23,27,1
108,NYY,GB,1419.802,1386.923,0.6372473796081074,0.3627526203918926,1420.73383628,1390.36240215,0.634278306731,0.3657216932689999,11.0,27,29,1
109,DET,CHI,1499.786,1583.173,0.4735636557902109,0.526436344209789,1491.69657213,1582.72196428,0.534038274674,0.465961725326,57.0,23,28,1
110,CLE,NYG,1673.613,1614.153,0.6718246614438471,0.3281753385561529,1664.97324339,1613.1173879,0.667637286777,0.332362713223,96.0,14,13,0
111,ARI,CLE,1453.869,1677.918,0.2858635112765018,0.7141364887234982,1454.8017707,1669.46051551,0.277196628376,0.722803371624,75.0,17,34,1
112,PIT,PHI,1501.78,1531.298,0.5508859189840883,0.4491140810159116,1504.46333938,1535.51488148,0.50344605716,0.49655394284,51.0,13,34,1
113,WSH,CHI,1433.607,1600.003,0.358085738440104,0.6419142615598961,1431.52589214,1602.1783349,0.430903607571,0.569096392429,51.0,0,27,1
114,GB,DET,1401.577,1482.957,0.4764447345548022,0.5235552654451978,1404.86542887,1472.24020151,0.466039861318,0.533960138682,21.0,17,24,1
115,NYG,NYY,1609.847,1405.149,0.8252754515158532,0.1747245484841467,1608.63011578,1406.23080957,0.805831892212,0.1941681077879999,54.0,37,31,0
116,LAR,SF,1581.324,1534.285,0.6558711787347462,0.3441288212652538,1588.02424883,1531.09831968,0.615196702234,0.384803297766,74.0,23,16,0
117,LAR,ARI,1594.942,1438.458,0.7815913854266643,0.2184086145733357,1603.04235779,1439.86387385,0.762894984646,0.2371050153539999,53.0,45,21,0
118,NYG,WSH,1615.905,1410.794,0.8256180004978807,0.1743819995021193,1615.26555808,1403.21052459,0.806954481065,0.193045518935,56.0,28,14,0
119,CLE,PHI,1693.329,1565.913,0.7516880389870355,0.2483119610129645,1684.39841236,1566.61693099,0.750804398932,0.2491956010679999,96.0,20,17,0
120,SF,NYY,1520.667,1399.091,0.7453602373633766,0.2546397626366233,1516.08021072,1399.59536727,0.736631777663,0.2633682223369999,32.0,19,14,0
121,PIT,GB,1467.166,1381.909,0.7036935667897058,0.2963064332102941,1473.36128987,1385.63795048,0.694279994511,0.305720005489,15.0,28,7,0
122,CHI,DET,1622.816,1502.625,0.7438440739961103,0.2561559260038897,1630.49370245,1491.4676799,0.696146517823,0.303853482177,72.0,28,41,1
123,NYG,CLE,1624.316,1699.66,0.4851181841811259,0.5148818158188742,1624.4938468,1690.76811103,0.464617438979,0.535382561021,99.0,0,10,1
124,PHI,DET,1559.582,1545.495,0.6118894407155543,0.3881105592844457,1560.24723232,1530.65530372,0.584045202198,0.4159547978019999,76.0,10,28,1
125,SF,ARI,1529.079,1425.683,0.7249929702033289,0.2750070297966711,1524.84353068,1426.10997691,0.745030045312,0.254969954688,32.0,21,27,1
126,CHI,GB,1579.946,1364.762,0.8338092943569909,0.166190705643009,1591.30607863,1368.70765265,0.799372434019,0.2006275659809999,27.0,24,13,0
127,PIT,WSH,1484.313,1402.382,0.6996859488805439,0.3003140511194561,1490.29158769,1393.98223587,0.665186919197,0.334813080803,17.0,7,22,1
128,LAR,NYY,1607.717,1390.68,0.83528213870391,0.16471786129609,1616.79625473,1390.83204731,0.828210990159,0.1717890098409999,48.0,48,21,0
129,DET,GB,1582.872,1357.436,0.8418268469993764,0.1581731530006236,1566.03573234,1359.60685973,0.831387014443,0.168612985557,33.0,52,35,0
130,NYY,SF,1380.95,1498.525,0.4249107673770296,0.5750892326229704,1380.62205447,1493.24572953,0.43726500861,0.5627349913899999,24.0,10,10,1
131,WSH,LAR,1443.958,1617.447,0.3487557631765543,0.6512442368234457,1432.87798774,1627.00624758,0.333724412141,0.666275587859,60.0,31,21,0
132,ARI,NYG,1456.237,1601.16,0.3869683234823324,0.6130316765176675,1457.70777806,1602.25821591,0.37203940972,0.6279605902800001,62.0,0,10,1
133,PHI,PIT,1522.205,1442.737,0.6966983455940062,0.3033016544059937,1524.8668037,1451.39583582,0.703112087521,0.296887912479,35.0,13,17,1
134,CLE,CHI,1722.817,1587.272,0.7603191110130105,0.2396808889869894,1713.00374192,1600.40687155,0.769645518147,0.230354481853,97.0,42,21,0
135,GB,NYY,1349.358,1383.24,0.544663038853806,0.455336961146194,1350.93151026,1382.23960396,0.565839303584,0.4341606964159999,5.0,28,31,1
136,DET,SF,1590.949,1496.235,0.7149173266588106,0.2850826733411894,1574.71108181,1491.62818004,0.722761026697,0.2772389733029999,74.0,10,20,1
137,WSH,PHI,1476.81,1498.203,0.5624280512325491,0.4375719487674508,1467.1328311,1500.52317054,0.551969861796,0.4480301382039999,40.0,21,35,1
138,NYG,PIT,1619.068,1466.739,0.777480926291758,0.2225190737082419,1619.25140677,1475.73946898,0.778196798449,0.2218032015509999,67.0,14,0,0
139,CLE,ARI,1736.396,1438.33,0.8899250647076307,0.1100749352923693,1725.88787623,1440.71458719,0.896849852783,0.103150147217,80.0,49,28,0
140,CHI,LAR,1573.693,1584.595,0.5772301503856743,0.4227698496143257,1587.52273724,1592.75140421,0.605906924068,0.394093075932,88.0,17,42,1
141,ARI,WSH,1432.489,1445.733,0.57393677347488,0.4260632265251199,1435.28936475,1436.70659972,0.576562459927,0.423437540073,19.0,17,20,1
142,NYY,CHI,1398.558,1535.131,0.3984309043595268,0.6015690956404731,1398.28412217,1547.00946519,0.386406082529,0.613593917471,42.0,21,45,1
143,LAR,DET,1623.156,1553.979,0.6840365695661931,0.3159634304338069,1633.26467626,1537.12626323,0.68920208262,0.3107979173799999,88.0,22,24,1
144,PHI,NYG,1529.281,1630.036,0.4487253028468845,0.5512746971531155,1530.94940192,1630.05987487,0.445596875885,0.554403124115,84.0,7,23,1
145,PIT,CLE,1455.771,1742.237,0.2184263030487344,0.7815736969512656,1464.93100089,1731.31309868,0.19744595184,0.80255404816,85.0,0,28,1
146,SF,GB,1533.204,1334.04,0.8206342090233676,0.1793657909766324,1529.21299862,1334.88699206,0.752006728325,0.2479932716749999,17.0,31,19,0
147,CHI,ARI,1559.973,1416.192,0.7688519556612669,0.2311480443387331,1570.78786748,1418.91691889,0.809982762117,0.1900172378829999,47.0,14,24,1
148,SF,DET,1541.419,1569.985,0.5522413855536749,0.4477586144463251,1541.03384123,1553.00173809,0.568855525021,0.431144474979,78.0,21,17,0
149,PHI,CLE,1504.261,1755.602,0.2548966011266653,0.7451033988733347,1506.19553268,1743.17762033,0.237696649698,0.762303350302,94.0,9,24,1
150,NYY,NYG,1373.716,1655.056,0.2235055676328952,0.7764944323671047,1374.50571988,1654.8137441,0.25352547389,0.74647452611,55.0,17,27,1
151,LAR,GB,1607.15,1325.826,0.8801236062436164,0.1198763937563835,1617.38920139,1323.06614945,0.86638953919,0.13361046081,34.0,42,14,0
152,WSH,PIT,1462.029,1442.406,0.6194298996518532,0.3805701003481467,1453.07904558,1453.06647923,0.644529015778,0.3554709842219999,18.0,10,20,1
153,LAR,CLE,1614.125,1768.633,0.3739637366388775,0.6260362633611225,1625.46697882,1755.19404095,0.370814604293,0.6291853957069999,100.0,24,17,0
154,PIT,PHI,1483.867,1495.82,0.5757530395886985,0.4242469604113015,1492.05657383,1497.78607471,0.566939791672,0.4330602083279999,42.0,25,31,1
155,CLE,LAR,1662.662,1595.844,0.6810943180001071,0.3189056819998929,1653.10421604,1604.00313047,0.668157641046,0.331842358954,95.0,37,7,0
156,SF,DET,1538.732,1538.871,0.5922730204908828,0.4077269795091172,1538.09675378,1527.92696577,0.598142893764,0.401857106236,66.0,17,3,0
157,DTX,NYG,1300.0,1611.544,0.1947836806954426,0.8052163193045574,1300.0,1612.31551709,0.184716635643,0.815283364357,16.0,6,24,1
158,GB,CHI,1380.9,1514.49,0.4025537294281033,0.5974462705718966,1378.32558134,1519.55772256,0.420569137511,0.579430862489,20.0,14,24,1
159,ARI,WSH,1472.954,1455.756,0.6161337125646049,0.3838662874353951,1476.91213502,1448.70710937,0.625847530251,0.3741524697489999,28.0,7,23,1
160,LAR,DET,1575.18,1517.421,0.6696621932979335,0.3303378067020664,1581.42923866,1507.10897166,0.682913723067,0.3170862769329999,68.0,14,17,1
161,PIT,CLE,1460.906,1683.326,0.2877816785991843,0.7122183214008156,1469.88549908,1675.67810785,0.284268790775,0.715731209225,80.0,20,21,1
162,PHI,NYG,1518.781,1621.858,0.4454211317931072,0.5545788682068928,1519.95714947,1621.89984474,0.44790947949,0.55209052051,83.0,7,31,1
163,DTX,SF,1289.685,1560.182,0.234524738259432,0.7654752617405679,1290.41567236,1558.91474789,0.271019874433,0.728980125567,5.0,14,37,1
164,ARI,CHI,1436.686,1533.212,0.4547545483389455,0.5452454516610545,1440.16976218,1539.09610981,0.483177201814,0.5168227981860001,43.0,21,10,0
165,GB,WSH,1362.178,1492.024,0.4077478312258372,0.5922521687741629,1358.7871941,1485.44948222,0.414707605621,0.585292394379,15.0,35,20,0
166,WSH,ARI,1458.185,1464.178,0.5841107475832167,0.4158892524167833,1451.76514693,1465.9556459,0.544936043456,0.455063956544,32.0,6,17,1
167,CHI,DTX,1505.72,1276.052,0.8450437209699959,0.154956279030004,1513.31022608,1274.18786354,0.859848711667,0.1401512883329999,2.0,38,20,0
168,DET,SF,1537.085,1573.815,0.5405942526061792,0.4594057473938208,1526.97264639,1575.14255671,0.422626632633,0.5773733673670001,62.0,0,28,1
169,PHI,PIT,1490.594,1457.183,0.6379550045078084,0.3620449954921916,1491.36842071,1466.15229792,0.621369112314,0.3786308876859999,43.0,26,21,0
170,CLE,NYG,1687.049,1650.045,0.6427183563100106,0.3572816436899894,1679.41130901,1650.48857349,0.630658735748,0.369341264252,99.0,9,17,1
171,GB,LAR,1396.017,1555.515,0.3672635637616067,0.6327364362383933,1392.47152939,1561.56556393,0.331349774961,0.6686502250390001,40.0,28,30,1
172,DTX,GB,1268.005,1388.28,0.4211172930852175,0.5788827069147825,1266.98340449,1385.81491867,0.359873782175,0.640126217825,0.0,14,24,1
173,CHI,SF,1513.767,1610.696,0.4541793944385716,0.5458206055614283,1520.51468513,1604.6256614,0.521325901574,0.4786740984259999,70.0,16,40,1
174,PIT,WSH,1444.765,1428.356,0.6150589413341941,0.3849410586658058,1453.24068482,1424.2309695,0.624262894909,0.375737105091,19.0,24,28,1
175,NYG,ARI,1679.663,1494.007,0.808902082796836,0.191097917203164,1679.15973448,1493.48982333,0.798644042671,0.201355957329,87.0,23,24,1
176,DET,LAR,1500.204,1563.253,0.5028076851862084,0.4971923148137915,1497.48954169,1568.22217466,0.498078712211,0.501921287789,63.0,24,16,0
177,PHI,CLE,1503.012,1657.432,0.3740823394738929,0.6259176605261071,1504.28003381,1650.74014802,0.342067716211,0.657932283789,77.0,7,49,1
178,LAR,CHI,1541.423,1484.947,0.6680263602726431,0.3319736397273569,1545.56657562,1486.58696603,0.663800987696,0.3361990123039999,54.0,31,7,0
179,ARI,PIT,1506.663,1424.206,0.7003218028798698,0.2996781971201302,1505.9066442,1432.338625,0.701895627919,0.298104372081,37.0,28,34,1
180,CLE,WSH,1684.473,1448.914,0.8494324605549238,0.1505675394450761,1674.3900727,1445.13302932,0.867755346759,0.132244653241,67.0,19,15,0
181,NYG,PHI,1667.007,1475.971,0.8136436347531775,0.1863563652468225,1666.7429136,1480.63010914,0.820285148907,0.179714851093,76.0,10,14,1
